Symbol,Name,Date Public,Founded,MarketValue,PQ1EarningsDate,PQ1Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-2 Earnings Date,P/Q-2Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-3 Earnings Date,P/Q-3Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-4 Earnings Date,P/Q-4 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-5 Earnings Date,P/Q-5 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-6 Earnings Date,P/Q-6 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings
LMT,Lockheed Martin Corporation,11/05/1984,1961,"92,641.7",1/28/2020,5%,5.16%,-1.95%,-1.77%,0.96%,10/22/2019,13%,-4.89%,-2.70%,3.00%,-1.44%,7/23/2019,5%,-3.49%,6.59%,3.29%,0.56%,4/23/2019,38%,3.60%,1.03%,4.44%,3.78%,1/29/2019,0%,1.81%,0.07%,-0.72%,-2.11%,10/23/2018,19%,-2.16%,-5.15%,-0.14%,-4.72%
UTX,United Technologies Corporation,11/05/1984,1934,"91,203.6",1/28/2020,5%,0.13%,-1.00%,-3.78%,-10.39%,10/22/2019,9%,1.91%,1.87%,-1.24%,-2.44%,7/23/2019,7%,1.23%,-0.47%,-2.44%,2.09%,4/23/2019,12%,1.80%,-1.58%,0.93%,-2.19%,1/23/2019,26%,0.49%,0.15%,2.37%,-0.60%,10/23/2018,6%,-5.00%,-2.15%,2.48%,-5.78%
GILD,"Gilead Sciences, Inc.", 1/22/1992,1987,"89,402.3",2/5/2020,-22%,8.29%,0.49%,23.86%,-7.07%,10/25/2019,1%,1.90%,0.82%,-0.84%,1.62%,7/31/2019,6%,-0.09%,0.89%,-0.93%,-0.02%,5/3/2019,9%,2.64%,1.64%,-0.17%,0.06%,2/5/2019,-15%,-0.81%,-2.98%,-5.67%,1.15%,10/26/2018,13%,-4.58%,-2.62%,-2.26%,2.43%
QCOM,QUALCOMM Incorporated,12/13/1991,1985,"86,654.1",2/6/2020,16%,-2.67%,-3.80%,-0.18%,-2.14%,11/7/2019,10%,7.16%,-6.09%,-3.00%,4.14%,8/1/2019,6%,-3.33%,3.40%,4.65%,-0.34%,5/2/2019,9%,22.03%,-3.77%,-14.99%,-2.24%,1/31/2019,10%,-12.75%,2.49%,2.90%,4.11%,11/8/2018,9%,-4.97%,1.33%,3.29%,4.99%
SBUX,Starbucks Corporation, 6/26/1992,1985,"82,065.1",1/29/2020,4%,-2.40%,-1.17%,0.22%,-4.08%,10/31/2019,0%,-4.83%,-2.26%,-0.29%,2.83%,7/26/2019,8%,1.91%,0.61%,0.66%,-5.26%,4/26/2019,7%,0.86%,3.06%,-1.05%,5.40%,1/25/2019,15%,-0.82%,2.20%,-1.48%,-1.54%,11/2/2018,3%,1.03%,5.29%,-3.00%,4.85%
MMM,3M Company,11/05/1984,1902,"81,551.0",1/28/2020,-8%,-2.00%,-4.45%,-1.22%,10.77%,10/24/2019,4%,8.81%,5.20%,-6.05%,2.35%,7/25/2019,7%,7.33%,-5.68%,-1.60%,-0.04%,4/25/2019,-10%,1.65%,-6.25%,-3.79%,-1.51%,1/29/2019,1%,-1.33%,0.83%,-0.67%,-1.90%,10/23/2018,-5%,-1.62%,0.88%,6.67%,-1.08%
UPS,"United Parcel Service, Inc. Class B",11/10/1999,1907,"80,895.3",1/30/2020,0%,-1.03%,-5.42%,-1.91%,13.23%,10/22/2019,1%,0.19%,1.87%,-2.30%,-3.23%,7/24/2019,2%,2.52%,5.36%,-1.11%,2.71%,4/25/2019,-2%,-0.37%,-2.32%,-2.97%,0.19%,1/31/2019,2%,0.94%,4.42%,-1.91%,-2.65%,10/24/2018,0%,1.68%,-2.95%,3.57%,-2.62%
AXP,American Express Company,11/05/1984,1850,"80,480.9",1/24/2020,1%,2.40%,-3.48%,0.19%,-8.38%,10/18/2019,2%,2.77%,-0.70%,-0.49%,-2.85%,7/19/2019,2%,2.01%,1.12%,1.55%,-4.66%,4/18/2019,-9%,0.03%,3.61%,2.55%,0.21%,1/18/2019,29%,-1.19%,0.86%,0.81%,1.79%,10/19/2018,6%,-0.04%,-1.25%,4.87%,0.61%
FIS,"Fidelity National Information Services, Inc.", 6/20/2001,1968,"80,060.2",2/13/2020,2%,-3.39%,2.64%,2.07%,0.00%,11/5/2019,6%,-0.78%,2.54%,-1.24%,-1.16%,8/6/2019,0%,0.81%,5.85%,-2.72%,-5.91%,4/30/2019,5%,-2.71%,4.47%,3.65%,-2.06%,2/12/2019,31%,2.01%,-1.24%,-0.40%,2.80%,10/30/2018,2%,1.78%,-0.46%,2.08%,1.41%
CVS,CVS Health Corporation,11/05/1984,1963,"77,780.1",2/12/2020,3%,0.27%,-7.72%,8.63%,9.23%,11/6/2019,4%,-1.54%,4.43%,-0.99%,-3.36%,8/7/2019,12%,0.20%,4.52%,-0.04%,0.29%,5/1/2019,8%,-1.10%,-5.61%,2.04%,-0.29%,2/20/2019,2%,3.86%,-15.53%,2.48%,-7.73%,11/6/2018,1%,1.76%,0.94%,-0.78%,-4.78%
MO,Altria Group Inc, 7/02/1985,1919,"74,464.8",1/30/2020,0%,-1.24%,-7.76%,0.54%,8.35%,10/31/2019,4%,3.71%,2.06%,5.05%,-0.03%,7/30/2019,0%,1.32%,-0.83%,-1.33%,-5.84%,4/25/2019,-2%,-2.44%,2.97%,3.15%,-4.66%,1/31/2019,0%,-3.01%,-2.07%,5.15%,7.27%,10/25/2018,1%,3.71%,-0.36%,-11.67%,-0.98%
LOW,"Lowe's Companies, Inc.",11/05/1984,1946,"73,957.2",2/26/2020,3%,4.36%,-0.57%,-2.68%,0.00%,11/20/2019,4%,-0.53%,-2.31%,1.16%,-0.74%,8/21/2019,8%,-0.85%,3.91%,-3.14%,-1.38%,5/22/2019,-8%,4.21%,-1.45%,1.52%,1.86%,2/27/2019,1%,5.20%,-6.76%,6.75%,2.84%,11/20/2018,6%,-4.32%,3.37%,6.43%,4.36%
TMUS,"T-Mobile US, Inc.", 4/19/2007,1994,"73,173.5",2/7/2020,4%,0.04%,15.74%,-2.30%,7.07%,10/29/2019,5%,2.30%,-7.22%,-0.33%,-4.99%,7/26/2019,12%,1.88%,-4.55%,0.98%,-1.22%,4/26/2019,17%,-0.54%,4.98%,4.56%,-2.97%,2/7/2019,8%,-4.81%,3.87%,-1.81%,0.02%,10/31/2018,10%,-2.78%,-0.47%,-0.58%,0.52%
MDLZ,"Mondelez International, Inc. Class A", 6/13/2001,1903,"72,965.5",1/30/2020,1%,0.94%,-2.47%,1.55%,5.53%,10/30/2019,6%,-3.69%,-0.34%,-2.01%,-0.05%,7/31/2019,0%,-0.24%,4.01%,1.40%,-4.42%,5/1/2019,6%,-0.26%,2.68%,1.00%,2.85%,1/31/2019,0%,-0.75%,0.64%,-2.39%,0.89%,10/30/2018,3%,1.58%,3.05%,-0.15%,3.20%
FISV,"Fiserv, Inc.", 9/25/1986,1984,"70,232.4",2/5/2020,-1%,3.40%,-1.09%,-0.10%,-5.34%,11/7/2019,3%,1.36%,3.36%,-1.12%,0.04%,7/26/2019,2%,2.62%,6.37%,1.73%,-2.78%,5/1/2019,2%,-0.60%,2.24%,3.58%,-2.02%,2/8/2019,-2%,-1.03%,-5.05%,2.51%,-1.11%,11/1/2018,-2%,3.81%,6.59%,-1.69%,1.42%
GE,General Electric Company,11/05/1984,1878,"68,610.8",1/29/2020,22%,-2.89%,-1.61%,-9.22%,-13.81%,10/30/2019,26%,0.58%,10.04%,-2.06%,0.81%,7/31/2019,46%,1.04%,-9.04%,-13.83%,12.33%,4/30/2019,54%,6.83%,5.09%,-7.40%,6.08%,1/31/2019,-22%,1.46%,-2.83%,0.09%,-3.34%,10/30/2018,-29%,-4.31%,-17.02%,-11.03%,-3.62%
ANTM,"Anthem, Inc.",10/30/2001,1944,"68,214.9",1/29/2020,0%,-1.84%,5.15%,-1.06%,15.96%,10/23/2019,1%,6.87%,2.83%,4.35%,-2.59%,7/24/2019,1%,5.53%,3.63%,-8.05%,-8.06%,4/24/2019,3%,-14.84%,7.05%,5.38%,0.42%,1/30/2019,11%,4.56%,-0.03%,-2.97%,0.68%,10/31/2018,3%,-0.14%,1.80%,2.91%,-0.75%
INTU,Intuit Inc., 3/12/1993,1983,"68,052.8",2/25/2020,13%,0.13%,2.43%,-3.12%,0.00%,11/22/2019,58%,3.87%,-2.49%,1.77%,1.47%,8/23/2019,-39%,0.07%,-5.71%,-2.50%,0.89%,5/24/2019,3%,1.58%,-1.01%,-0.92%,1.97%,2/22/2019,16%,2.94%,-0.34%,1.02%,0.23%,11/20/2018,172%,-5.52%,6.22%,-0.81%,0.69%
CI,Cigna Corporation,11/05/1984,1792,"66,919.4",2/6/2020,3%,-2.72%,2.67%,0.82%,-8.00%,10/31/2019,4%,7.35%,4.25%,3.85%,-5.98%,8/1/2019,15%,-4.69%,-1.23%,-7.29%,2.57%,5/2/2019,4%,6.69%,-1.60%,0.57%,1.94%,2/1/2019,0%,-1.86%,-0.74%,-13.97%,-3.71%,11/1/2018,11%,4.74%,-1.43%,4.01%,-3.71%
D,Dominion Energy Inc,11/05/1984,1983,"65,607.1",2/11/2020,2%,-1.93%,8.91%,2.91%,-0.84%,11/1/2019,4%,-1.15%,-3.24%,-0.09%,-2.96%,7/31/2019,1%,-3.48%,5.95%,0.31%,-2.15%,5/3/2019,-2%,1.67%,1.24%,4.42%,-4.78%,2/1/2019,-2%,-1.59%,0.52%,2.01%,0.73%,11/1/2018,2%,2.28%,4.62%,0.47%,6.69%
CME,CME Group Inc. Class A,12/06/2002,1898,"65,233.3",2/12/2020,-1%,-3.29%,13.15%,-1.50%,5.63%,10/30/2019,8%,-6.89%,-1.80%,-3.84%,0.55%,7/31/2019,0%,-3.35%,11.71%,1.80%,-9.10%,5/1/2019,1%,1.78%,6.04%,7.91%,-1.50%,2/14/2019,2%,-2.75%,0.72%,-7.14%,-3.68%,10/25/2018,1%,5.12%,2.88%,6.09%,0.24%
CCI,Crown Castle International Corp, 8/18/1998,1994,"64,633.1",2/27/2020,-11%,8.12%,12.64%,8.83%,0.00%,10/17/2019,19%,-4.92%,-1.92%,-5.74%,-1.55%,7/18/2019,26%,-1.67%,6.83%,9.86%,-0.30%,4/18/2019,9%,-4.34%,0.39%,4.76%,7.54%,1/24/2019,2%,-0.05%,3.19%,-1.99%,2.59%,10/18/2018,21%,1.98%,3.58%,1.34%,2.93%
BDX,"Becton, Dickinson and Company",11/05/1984,1897,"64,132.4",2/6/2020,1%,2.11%,2.17%,3.72%,-1.10%,11/5/2019,0%,0.14%,-1.96%,4.81%,1.26%,8/6/2019,1%,-1.68%,2.15%,0.82%,-1.30%,5/9/2019,0%,1.54%,3.40%,-0.08%,1.53%,2/5/2019,3%,0.03%,0.80%,0.20%,-3.71%,11/6/2018,0%,1.43%,3.45%,-1.38%,-1.44%
BLK,"BlackRock, Inc.",10/01/1999,1988,"64,064.7",1/15/2020,8%,1.51%,1.93%,2.48%,-6.46%,10/15/2019,3%,-2.29%,3.44%,2.52%,-0.80%,7/19/2019,-1%,-0.05%,-3.76%,-5.13%,-0.51%,4/16/2019,8%,1.62%,2.13%,-4.94%,-1.88%,1/16/2019,-3%,-2.16%,-2.94%,0.35%,2.61%,10/16/2018,10%,-3.89%,3.48%,-0.74%,3.97%
DUK,Duke Energy Corporation,11/05/1984,1904,"62,869.4",2/13/2020,4%,-2.10%,3.70%,2.63%,0.00%,11/8/2019,7%,-6.23%,-3.78%,1.52%,-1.36%,8/6/2019,14%,3.38%,1.75%,1.70%,-2.09%,5/9/2019,1%,-0.49%,3.96%,-4.05%,0.65%,2/14/2019,-6%,1.34%,-0.25%,0.93%,-1.13%,11/2/2018,9%,1.54%,4.28%,1.36%,6.48%
TJX,TJX Companies Inc,11/05/1984,1956,"62,537.3",2/26/2020,5%,3.45%,-1.17%,-7.26%,0.00%,11/19/2019,3%,0.02%,-1.10%,-1.57%,0.34%,8/20/2019,0%,-1.32%,4.25%,1.04%,0.63%,5/21/2019,4%,0.78%,-2.70%,2.26%,-2.36%,2/27/2019,-1%,-1.95%,1.02%,1.71%,-0.49%,11/20/2018,3%,-9.64%,-2.93%,-0.27%,6.96%
ADP,"Automatic Data Processing, Inc.",11/05/1984,1949,"62,388.5",1/29/2020,5%,3.77%,0.78%,0.31%,-0.69%,10/30/2019,1%,-2.23%,1.31%,-0.58%,-3.04%,7/31/2019,1%,0.17%,2.94%,0.31%,-8.36%,5/1/2019,5%,-0.96%,3.51%,3.08%,-1.58%,1/30/2019,13%,0.03%,5.16%,0.37%,-0.58%,10/31/2018,8%,0.30%,-0.79%,0.79%,-2.63%
EL,Estee Lauder Companies Inc. Class A,11/17/1995,1946,"61,920.0",2/6/2020,11%,-5.78%,-0.92%,2.52%,-10.28%,10/31/2019,5%,-1.65%,0.76%,0.54%,3.00%,8/19/2019,31%,-0.35%,-0.53%,-7.59%,5.64%,5/1/2019,19%,1.42%,2.12%,-0.45%,3.67%,2/5/2019,13%,4.70%,1.11%,-1.39%,2.25%,10/31/2018,23%,6.64%,5.54%,-3.70%,0.46%
SYK,Stryker Corporation,11/05/1984,1941,"61,542.7",1/29/2020,1%,3.86%,-0.74%,2.00%,-4.23%,10/30/2019,0%,1.15%,-8.71%,-0.47%,-3.05%,7/26/2019,2%,0.63%,5.44%,0.20%,-3.25%,4/24/2019,2%,-5.90%,3.24%,-0.46%,3.45%,1/30/2019,1%,-0.17%,0.52%,0.40%,1.68%,10/26/2018,1%,-1.28%,2.09%,0.58%,4.73%
GS,"Goldman Sachs Group, Inc.", 5/04/1999,1869,"61,242.9",1/15/2020,-13%,4.92%,-0.29%,-5.23%,-3.66%,10/15/2019,-1%,-0.40%,3.97%,-0.64%,-0.72%,7/16/2019,19%,0.77%,2.41%,-5.09%,-1.02%,4/15/2019,17%,5.54%,1.61%,-1.07%,-2.38%,1/16/2019,40%,3.52%,-2.96%,-4.42%,0.74%,10/16/2018,17%,1.45%,3.41%,-8.09%,-4.19%
AGN,Allergan plc, 2/18/1993,1984,"60,487.0",2/10/2020,14%,3.66%,3.62%,5.42%,-2.83%,11/5/2019,1%,-0.11%,2.22%,0.93%,-0.64%,8/6/2019,1%,3.50%,-1.03%,0.26%,0.26%,5/7/2019,7%,4.47%,-1.54%,-7.41%,-2.26%,1/29/2019,3%,4.47%,-8.41%,-3.92%,9.92%,10/30/2018,5%,-1.16%,-0.37%,-5.78%,0.84%
SPGI,"S&P Global, Inc.",11/05/1984,1917,"60,486.8",2/6/2020,5%,-1.35%,-0.62%,3.23%,-8.47%,10/29/2019,5%,-3.59%,-2.33%,2.97%,1.86%,8/1/2019,7%,1.99%,1.88%,0.21%,-7.00%,5/2/2019,-1%,0.58%,0.33%,3.67%,0.07%,2/7/2019,1%,-0.69%,0.20%,-1.07%,2.92%,10/25/2018,3%,2.27%,2.34%,-0.98%,-3.53%
ZTS,"Zoetis, Inc. Class A", 2/01/2013,1952,"59,594.7",2/13/2020,5%,-0.08%,4.03%,3.28%,0.00%,11/7/2019,6%,-2.68%,-1.35%,-0.23%,7.14%,8/6/2019,10%,1.82%,3.23%,-0.14%,-5.81%,5/2/2019,12%,2.07%,0.98%,2.49%,4.56%,2/14/2019,2%,0.94%,0.47%,0.89%,3.46%,11/1/2018,8%,0.66%,-2.61%,1.49%,-2.15%
CL,Colgate-Palmolive Company,11/05/1984,1806,"59,082.6",1/31/2020,1%,-1.72%,-0.99%,2.90%,-4.61%,11/1/2019,1%,-0.59%,-2.50%,1.86%,-0.60%,7/26/2019,-1%,-2.88%,0.50%,3.31%,-3.36%,4/26/2019,1%,-0.45%,2.09%,1.43%,0.38%,1/25/2019,1%,-0.69%,4.46%,-2.08%,-0.62%,10/26/2018,0%,3.13%,2.40%,2.03%,4.14%
BKNG,Booking Holdings Inc., 3/30/1999,1997,"58,362.4",2/27/2020,6%,-5.02%,-6.26%,11.01%,0.00%,11/8/2019,2%,-12.08%,-0.74%,0.57%,4.29%,8/8/2019,4%,-0.62%,1.02%,-1.17%,3.17%,5/10/2019,-1%,-5.13%,-4.79%,2.06%,3.42%,2/28/2019,16%,-1.30%,1.87%,-0.70%,2.52%,11/6/2018,-1%,2.99%,-6.21%,5.36%,-1.01%
PLD,"Prologis, Inc.",11/21/1997,1991,"57,489.0",1/22/2020,53%,4.97%,-1.74%,5.47%,0.90%,10/15/2019,35%,1.50%,-4.21%,-1.93%,4.94%,7/16/2019,62%,-2.84%,0.36%,2.49%,2.17%,4/16/2019,71%,0.66%,6.07%,0.26%,-1.42%,1/22/2019,115%,5.98%,4.07%,-1.40%,0.17%,10/16/2018,62%,-0.26%,7.26%,1.34%,-1.22%
MS,Morgan Stanley, 2/23/1993,1935,"57,464.9",1/16/2020,18%,1.59%,-4.63%,1.92%,-8.32%,10/17/2019,9%,2.77%,4.66%,3.51%,0.25%,7/18/2019,8%,-0.58%,-2.04%,-5.47%,2.82%,4/17/2019,14%,6.13%,-1.53%,-6.19%,-3.79%,1/17/2019,-18%,5.81%,-4.37%,-2.30%,-0.71%,10/16/2018,15%,-0.84%,1.37%,-1.20%,0.48%
VRTX,Vertex Pharmaceuticals Incorporated, 7/24/1991,1989,"57,262.2",1/31/2020,40%,-1.48%,2.45%,3.72%,-4.92%,10/31/2019,7%,11.25%,2.82%,6.63%,-2.21%,8/1/2019,18%,-5.83%,4.48%,-3.97%,-5.17%,5/1/2019,13%,-8.80%,-1.00%,4.14%,-4.59%,2/6/2019,22%,-7.43%,-1.35%,-1.56%,-1.32%,10/25/2018,7%,-2.90%,4.99%,-4.87%,8.04%
SO,Southern Company,11/05/1984,1945,"56,896.7",2/20/2020,0%,-4.16%,7.03%,-20.13%,0.00%,10/30/2019,17%,-1.09%,-2.78%,-1.42%,-3.09%,7/31/2019,10%,-0.98%,6.08%,-0.44%,-0.52%,5/1/2019,-3%,-0.45%,4.45%,0.92%,0.28%,2/20/2019,9%,-1.53%,1.17%,0.57%,-1.10%,11/7/2018,6%,1.55%,2.75%,3.51%,4.65%
USB,U.S. Bancorp,11/05/1984,1929,"56,438.8",1/15/2020,-17%,-6.34%,-1.15%,-1.15%,-3.73%,10/16/2019,4%,-1.96%,2.75%,0.98%,0.63%,7/17/2019,2%,-1.34%,5.51%,-6.39%,-0.42%,4/17/2019,0%,0.85%,4.36%,-1.96%,1.80%,1/16/2019,4%,0.79%,0.74%,-3.02%,0.30%,10/17/2018,1%,0.47%,2.31%,3.47%,-1.32%
CB,Chubb Limited, 3/25/1993,2016,"55,227.2",2/5/2020,8%,1.70%,-2.55%,-0.96%,-15.89%,10/30/2019,3%,-5.69%,-2.32%,-2.22%,0.53%,7/24/2019,2%,-2.64%,6.16%,-1.04%,1.83%,5/1/2019,-1%,3.09%,1.92%,3.58%,-1.68%,2/6/2019,2%,-1.33%,2.00%,-0.64%,-0.90%,10/24/2018,2%,-2.41%,-0.56%,6.23%,-0.54%
CAT,Caterpillar Inc.,11/05/1984,1925,"54,810.3",1/31/2020,10%,-6.85%,0.12%,0.92%,-21.91%,10/23/2019,-8%,9.69%,5.09%,-3.92%,-0.73%,7/24/2019,-9%,1.88%,-3.97%,-4.12%,2.68%,4/24/2019,4%,0.16%,-2.59%,-5.70%,0.15%,1/28/2019,-15%,0.27%,1.07%,3.80%,-4.05%,10/23/2018,1%,-11.62%,8.15%,-1.46%,2.82%
ISRG,"Intuitive Surgical, Inc.", 6/13/2000,1995,"54,626.1",1/24/2020,3%,3.47%,-2.70%,3.07%,2.97%,10/18/2019,15%,-1.06%,-3.96%,-0.03%,3.18%,7/19/2019,13%,-0.11%,-1.35%,-2.25%,1.96%,4/19/2019,-3%,-8.90%,-3.81%,-3.50%,-6.50%,1/25/2019,-4%,1.51%,-1.37%,3.68%,-1.50%,10/19/2018,6%,-1.29%,3.95%,-0.23%,3.83%
NOW,"ServiceNow, Inc.", 6/29/2012,2004,"54,599.8",1/30/2020,10%,4.04%,0.12%,4.79%,-2.69%,10/24/2019,11%,-18.99%,-1.29%,15.19%,-4.02%,7/25/2019,12%,-1.46%,-4.39%,-0.50%,-2.38%,4/25/2019,24%,-0.06%,5.60%,-0.53%,1.73%,1/31/2019,21%,0.22%,4.72%,1.85%,-0.99%,10/25/2018,15%,3.54%,3.98%,-7.56%,14.80%
BIIB,Biogen Inc., 9/17/1991,1978,"53,126.1",1/30/2020,4%,-5.25%,17.57%,4.37%,8.06%,10/22/2019,10%,-3.89%,0.98%,-3.91%,1.58%,7/23/2019,21%,0.35%,2.56%,-4.50%,-6.55%,4/24/2019,0%,-5.39%,4.54%,2.42%,-4.26%,1/29/2019,4%,-2.81%,-8.56%,1.10%,-3.30%,10/23/2018,9%,-3.56%,0.75%,3.75%,0.09%
EQIX,"Equinix, Inc.", 8/11/2000,1998,"53,068.4",2/13/2020,-8%,0.09%,2.20%,17.52%,0.00%,10/31/2019,-15%,-1.35%,-5.94%,2.53%,-3.61%,8/1/2019,6%,-1.86%,7.97%,-0.70%,-6.66%,5/2/2019,0%,-1.15%,6.95%,3.11%,-0.12%,2/14/2019,15%,-0.45%,0.70%,1.72%,2.20%,11/2/2018,61%,-5.02%,-1.65%,-1.40%,3.52%
NOC,Northrop Grumman Corporation,11/05/1984,1939,"52,721.8",1/30/2020,18%,2.38%,-7.25%,1.46%,4.73%,10/24/2019,15%,-6.88%,-6.38%,0.72%,-2.48%,7/24/2019,8%,-1.51%,9.85%,0.58%,-2.03%,4/24/2019,10%,4.26%,5.38%,9.63%,-0.28%,1/31/2019,11%,5.67%,0.18%,0.08%,-5.82%,10/24/2018,50%,1.59%,-5.90%,-0.68%,-3.25%
ECL,Ecolab Inc.,11/05/1984,1923,"51,890.1",2/18/2020,-3%,0.78%,4.21%,-7.14%,0.00%,10/29/2019,0%,-3.73%,-5.10%,-2.75%,-0.71%,7/30/2019,1%,0.61%,3.58%,0.62%,-8.34%,4/30/2019,1%,-1.65%,0.99%,3.67%,5.42%,2/19/2019,0%,0.14%,1.50%,1.45%,0.50%,10/30/2018,0%,3.98%,4.12%,-1.73%,2.58%
GPN,Global Payments Inc., 1/12/2001,2001,"51,832.5",2/12/2020,2%,0.04%,2.95%,2.11%,10.11%,10/31/2019,2%,-1.46%,2.87%,0.49%,-2.16%,7/30/2019,3%,3.08%,-2.40%,4.10%,-2.55%,5/2/2019,4%,3.22%,6.09%,6.06%,-1.99%,2/13/2019,1%,2.01%,4.87%,0.62%,2.28%,10/30/2018,3%,-1.88%,-3.50%,1.38%,-3.21%
AMD,"Advanced Micro Devices, Inc.",11/05/1984,1969,"51,348.1",1/29/2020,5%,3.99%,10.12%,-6.51%,5.24%,10/30/2019,-2%,6.07%,11.62%,2.97%,7.55%,7/31/2019,4%,-0.25%,3.86%,0.03%,-6.14%,5/1/2019,15%,-0.30%,5.19%,3.75%,8.21%,1/30/2019,-2%,-7.18%,-3.81%,1.63%,-3.91%,10/25/2018,5%,-4.18%,6.16%,-2.44%,2.84%
REGN,"Regeneron Pharmaceuticals, Inc.", 4/02/1991,1988,"51,219.8",2/6/2020,8%,3.17%,3.56%,33.44%,-5.84%,11/5/2019,4%,1.92%,1.97%,7.56%,-2.23%,8/6/2019,11%,5.76%,-2.20%,-4.58%,-2.90%,5/7/2019,-19%,2.18%,-3.37%,-1.97%,0.04%,2/6/2019,22%,0.13%,1.25%,-1.29%,-5.24%,11/6/2018,14%,-7.89%,-1.68%,11.00%,1.73%
TGT,Target Corporation,11/05/1984,1902,"50,607.2",3/3/2020,2%,1.95%,-4.55%,0.00%,0.00%,11/20/2019,14%,-0.88%,-1.79%,0.38%,-4.83%,8/21/2019,13%,2.54%,3.54%,-1.71%,2.38%,5/22/2019,7%,-3.61%,10.79%,-3.29%,1.94%,3/5/2019,1%,-0.97%,2.03%,0.01%,1.69%,11/20/2018,-2%,-7.29%,-1.43%,-2.87%,10.02%
ITW,Illinois Tool Works Inc.,11/05/1984,1912,"49,886.3",1/31/2020,1%,-0.13%,2.43%,0.68%,-9.71%,10/25/2019,5%,4.39%,0.24%,-2.27%,-0.44%,7/26/2019,1%,7.78%,-0.48%,0.20%,0.34%,4/25/2019,0%,2.14%,2.08%,-1.90%,1.36%,2/1/2019,1%,2.22%,4.57%,-0.64%,-0.33%,10/24/2018,1%,-2.73%,5.75%,5.87%,-2.87%
MMC,"Marsh & McLennan Companies, Inc.",11/05/1984,1980,"49,704.5",1/30/2020,1%,4.23%,1.30%,-0.30%,3.43%,10/29/2019,10%,-1.71%,0.11%,2.23%,0.62%,7/30/2019,4%,-0.13%,1.49%,0.27%,-3.46%,4/25/2019,4%,0.38%,1.88%,3.97%,1.16%,1/31/2019,4%,-0.23%,0.57%,0.84%,0.11%,10/25/2018,5%,-0.12%,3.62%,2.77%,-0.65%
MU,"Micron Technology, Inc.",11/05/1984,1978,"47,756.5",12/19/2019,2%,11.95%,-2.62%,7.72%,-5.21%,9/27/2019,9%,-2.22%,4.08%,4.70%,-4.18%,6/26/2019,34%,-6.84%,14.34%,9.64%,-8.63%,3/21/2019,5%,4.28%,-3.36%,0.20%,-1.54%,12/19/2018,1%,-6.12%,3.66%,3.78%,8.31%,9/21/2018,6%,1.28%,-1.16%,-3.16%,1.26%
AMAT,"Applied Materials, Inc.",11/05/1984,1967,"46,732.5",2/13/2020,6%,5.97%,-1.63%,-3.35%,0.00%,11/15/2019,5%,2.93%,-8.59%,3.23%,1.06%,8/16/2019,6%,0.75%,1.73%,3.40%,-0.87%,5/17/2019,6%,-3.47%,-5.24%,-0.95%,10.62%,2/15/2019,3%,2.52%,-0.78%,1.31%,1.59%,11/16/2018,0%,-0.75%,6.27%,-4.53%,-0.97%
ICE,"Intercontinental Exchange, Inc.",11/16/2005,2000,"46,002.8",2/6/2020,0%,-4.14%,5.30%,10.05%,-11.61%,10/31/2019,11%,-2.37%,-3.27%,-0.46%,-3.36%,8/1/2019,2%,-3.26%,4.91%,-0.27%,-5.01%,5/2/2019,3%,0.98%,3.23%,5.39%,-1.77%,2/7/2019,2%,-1.79%,-3.82%,-1.89%,-1.39%,10/31/2018,6%,2.06%,2.44%,1.51%,0.01%
PNC,"PNC Financial Services Group, Inc.",11/05/1984,1983,"45,865.2",1/15/2020,1%,-2.07%,-1.87%,0.03%,-6.51%,10/16/2019,5%,1.48%,2.52%,0.45%,-0.43%,7/17/2019,2%,-2.14%,2.41%,-8.24%,-0.20%,4/12/2019,0%,2.10%,1.97%,-1.82%,1.18%,1/16/2019,-1%,-0.57%,-2.22%,-3.33%,2.78%,10/12/2018,3%,2.20%,-0.02%,7.69%,4.68%
SHW,Sherwin-Williams Company,11/05/1984,1866,"45,840.5",1/30/2020,-3%,3.00%,-0.95%,1.24%,5.72%,10/22/2019,3%,-2.15%,-3.03%,1.82%,-2.06%,7/23/2019,3%,-2.14%,5.84%,4.24%,0.67%,4/23/2019,-2%,0.00%,-1.23%,-2.88%,5.37%,1/31/2019,-2%,3.46%,0.79%,-1.08%,-1.60%,10/25/2018,-1%,-1.82%,9.01%,6.09%,-5.52%
KMB,Kimberly-Clark Corporation,11/05/1984,1872,"45,817.1",1/23/2020,1%,3.52%,-0.76%,-2.05%,14.42%,10/22/2019,2%,-3.05%,-1.92%,0.38%,3.57%,7/23/2019,3%,-3.42%,3.68%,3.39%,0.44%,4/22/2019,8%,0.29%,-2.68%,4.76%,2.22%,1/23/2019,-3%,-1.71%,-1.75%,3.16%,-2.93%,10/22/2018,5%,1.18%,1.03%,4.92%,1.44%
